"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"automated_osu035_ecg_latest_final_f3m_add",2522,4074,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_add.v","automated_osu035","v","add, arithmetic",1536253318.71928,388,194,0
"automated_osu035_ecg_latest_final_f3m_add3",4462,7760,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_add3.v","automated_osu035","v","add, arithmetic",1536253318.32328,582,194,0
"automated_osu035_ecg_latest_final_f3m_add4",6402,11446,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_add4.v","automated_osu035","v","add, arithmetic",1536253318.60328,776,194,0
"automated_osu035_ecg_latest_final_f3m_cubic",2166,3732,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_cubic.v","automated_osu035","v","cubic, arithmetic",1536253318.81928,194,194,0
"automated_osu035_ecg_latest_final_f3m_inv",12985,28079,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_inv.v","automated_osu035","v","inv, arithmetic",1536253319.44327,196,195,0
"automated_osu035_ecg_latest_final_f3m_mult",11812,23046,"./automated_osu035/mult/automated_osu035_ecg_latest_final_f3m_mult.v","automated_osu035","v","mult, arithmetic",1521198008.08262,390,195,"{}"
"automated_osu035_ecg_latest_final_f3m_mult",11617,22851,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_mult.v","automated_osu035","v","mult, arithmetic",1536253320.76726,390,195,0
"automated_osu035_ecg_latest_final_f3m_mult3",16693,31453,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_mult3.v","automated_osu035","v","mult, arithmetic",1536253320.17526,1166,583,0
"automated_osu035_ecg_latest_final_f3m_mult3",17276,32036,"./automated_osu035/mult/automated_osu035_ecg_latest_final_f3m_mult3.v","automated_osu035","v","mult, arithmetic",1521198008.07862,1166,583,"{}"
"automated_osu035_ecg_latest_final_f3m_mux3",1555,1940,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_mux3.v","automated_osu035","v",,1536253320.83126,585,194,0
"automated_osu035_ecg_latest_final_f3m_mux6",2140,3104,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_mux6.v","automated_osu035","v",,1536253320.90726,1170,194,0
"automated_osu035_ecg_latest_final_f3m_neg",582,388,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_neg.v","automated_osu035","v","neg, arithmetic",1536253320.94326,194,194,0
"automated_osu035_ecg_latest_final_f3m_nine",3751,7270,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_nine.v","automated_osu035","v",,1536253321.06326,195,194,0
"automated_osu035_ecg_latest_final_f3m_sub",2522,4074,"./automated_osu035/automated_osu035_ecg_latest_final_f3m_sub.v","automated_osu035","v","sub, arithmetic",1536253321.13926,388,194,0
"automated_osu035_ecg_latest_final_func1",3530,6076,"./automated_osu035/automated_osu035_ecg_latest_final_func1.v","automated_osu035","v",,1536253325.07922,394,196,0
"automated_osu035_ecg_latest_final_func10",31250,65571,"./automated_osu035/automated_osu035_ecg_latest_final_func10.v","automated_osu035","v","crypto, eliptic, ",1536253322.58324,390,389,0
"automated_osu035_ecg_latest_final_func11",49669,103007,"./automated_osu035/automated_osu035_ecg_latest_final_func11.v","automated_osu035","v","crypto, eliptic, ",1536253324.91122,778,389,0
"automated_osu035_ecg_latest_final_func2",586,390,"./automated_osu035/automated_osu035_ecg_latest_final_func2.v","automated_osu035","v",,1536253325.11522,196,196,0
"automated_osu035_ecg_latest_final_func3",642,490,"./automated_osu035/automated_osu035_ecg_latest_final_func3.v","automated_osu035","v",,1536253325.15122,196,196,0
"automated_osu035_ecg_latest_final_func4",1374,2156,"./automated_osu035/automated_osu035_ecg_latest_final_func4.v","automated_osu035","v",,1536253325.21522,198,196,0
"automated_osu035_ecg_latest_final_func5",604,428,"./automated_osu035/automated_osu035_ecg_latest_final_func5.v","automated_osu035","v",,1536253325.26322,196,196,0
"automated_osu035_ecg_latest_final_func6",11,13,"./automated_osu035/automated_osu035_ecg_latest_final_func6.v","automated_osu035","v",,1536253325.29522,3,1,0
"automated_osu035_ecg_latest_final_func7",636,502,"./automated_osu035/automated_osu035_ecg_latest_final_func7.v","automated_osu035","v",,1536253325.32322,194,194,0
"automated_osu035_ecg_latest_final_func8",7044,13694,"./automated_osu035/automated_osu035_ecg_latest_final_func8.v","automated_osu035","v",,1536253325.63921,200,194,0
